capital,lon,lat,country,continent
Kabul,69.183333,34.51666667,Afghanistan,Asia,
Tirana,19.816667,41.31666667,Albania,Europe,
Algiers,3.05,36.75,Algeria,Africa,
Andorra la Vella,1.516667,42.5,Andorra,Europe,
Luanda,13.216667,-8.833333333,Angola,Africa,
Saint John’s,-61.85,17.11666667,Antigua and Barbuda,North America,
Buenos Aires,-58.666667,-34.58333333,Argentina,South America,
Yerevan,44.5,40.16666667,Armenia,Europe,
Canberra,149.133333,-35.26666667,Australia,Oceania,
Vienna,16.366667,48.2,Austria,Europe,
Baku,49.866667,40.38333333,Azerbaijan,Europe,
Nassau,-77.35,25.08333333,Bahamas,North America,
Manama,50.566667,26.23333333,Bahrain,Asia,
Dhaka,90.4,23.71666667,Bangladesh,Asia,
Bridgetown,-59.616667,13.1,Barbados,North America,
Minsk,27.566667,53.9,Belarus,Europe,
Brussels,4.333333,50.83333333,Belgium,Europe,
Belmopan,-88.766667,17.25,Belize,North America,
Porto-Novo,2.616667,6.483333333,Benin,Africa,
Thimphu,89.633333,27.46666667,Bhutan,Asia,
La Paz,-68.15,-16.5,Bolivia,South America,
Sarajevo,18.416667,43.86666667,Bosnia and Herzegovina,Europe,
Gaborone,25.9,-24.63333333,Botswana,Africa,
Brasilia,-47.916667,-15.78333333,Brazil,South America,
Bandar Seri Begawan,114.933333,4.883333333,Brunei,Asia,
Sofia,23.316667,42.68333333,Bulgaria,Europe,
Ouagadougou,-1.516667,12.36666667,Burkina Faso,Africa,
Bujumbura,29.35,-3.366666667,Burundi,Africa,
Phnom Penh,104.916667,11.55,Cambodia,Asia,
Yaounde,11.516667,3.866666667,Cameroon,Africa,
Ottawa,-75.7,45.41666667,Canada,North America,
Praia,-23.516667,14.91666667,Cape Verde,Africa,
Bangui,18.583333,4.366666667,Central African Republic,Africa,
N’Djamena,15.033333,12.1,Chad,Africa,
Santiago,-70.666667,-33.45,Chile,South America,
Beijing,116.383333,39.91666667,China,Asia,
Bogota,-74.083333,4.6,Colombia,South America,
Moroni,43.233333,-11.7,Comoros,Africa,
San Jose,-84.083333,9.933333333,Costa Rica,North America,
Yamoussoukro,-5.266667,6.816666667,Cote d’Ivoire,Africa,
Zagreb,16,45.8,Croatia,Europe,
Havana,-82.35,23.11666667,Cuba,North America,
Nicosia,33.366667,35.16666667,Cyprus,Europe,
Prague,14.466667,50.08333333,Czech Republic,Europe,
Kinshasa,15.3,-4.316666667,Democratic Republic of the Congo,Africa,
Copenhagen,12.583333,55.66666667,Denmark,Europe,
Djibouti,43.15,11.58333333,Djibouti,Africa,
Roseau,-61.4,15.3,Dominica,North America,
Santo Domingo,-69.9,18.46666667,Dominican Republic,North America,
Quito,-78.5,-0.216666667,Ecuador,South America,
Cairo,31.25,30.05,Egypt,Africa,
San Salvador,-89.2,13.7,El Salvador,North America,
Malabo,8.783333,3.75,Equatorial Guinea,Africa,
Asmara,38.933333,15.33333333,Eritrea,Africa,
Tallinn,24.716667,59.43333333,Estonia,Europe,
Addis Ababa,38.7,9.033333333,Ethiopia,Africa,
Palikir,158.15,6.916666667,Federated States of Micronesia,Oceania,
Suva,178.416667,-18.13333333,Fiji,Oceania,
Helsinki,24.933333,60.16666667,Finland,Europe,
Paris,2.333333,48.86666667,France,Europe,
Libreville,9.45,0.383333333,Gabon,Africa,
Tbilisi,44.833333,41.68333333,Georgia,Europe,
Berlin,13.4,52.51666667,Germany,Europe,
Accra,-0.216667,5.55,Ghana,Africa,
Athens,23.733333,37.98333333,Greece,Europe,
Saint George’s,-61.75,12.05,Grenada,North America,
Guatemala City,-90.516667,14.61666667,Guatemala,North America,
Conakry,-13.7,9.5,Guinea,Africa,
Bissau,-15.583333,11.85,Guinea-Bissau,Africa,
Georgetown,-58.15,6.8,Guyana,South America,
Port-au-Prince,-72.333333,18.53333333,Haiti,North America,
Tegucigalpa,-87.216667,14.1,Honduras,North America,
Budapest,19.083333,47.5,Hungary,Europe,
Reykjavik,-21.95,64.15,Iceland,Europe,
New Delhi,77.2,28.6,India,Asia,
Jakarta,106.816667,-6.166666667,Indonesia,Asia,
Tehran,51.416667,35.7,Iran,Asia,
Baghdad,44.4,33.33333333,Iraq,Asia,
Dublin,-6.233333,53.31666667,Ireland,Europe,
Jerusalem,35.233333,31.76666667,Israel,Asia,
